PIN,Address,Sq. Ft.,Ward,Community Area Name,Zoning Classification,Location
20-17-129-006-0000,5815 S ADA ST,0,16,WEST ENGLEWOOD,RS-3,"(41.78813198, -87.65801677)"
20-17-116-011-0000,5725 S ASHLAND AVE,0,16,WEST ENGLEWOOD,PD 1142,"(41.78938075, -87.66407765)"
20-17-313-011-0000,6059 S ADA ST,0,16,WEST ENGLEWOOD,RS-3,"(41.78332557, -87.65789374)"
20-18-415-011-0000,6035 S MARSHFIELD AVE,0,15,WEST ENGLEWOOD,RS-3,"(41.78386449, -87.66539271)"
20-29-104-018-0000,1237 W 71ST ST,0,6,WEST ENGLEWOOD,RS-3,"(41.76477155, -87.65562332)"
20-20-108-041-0000,6444 S JUSTINE ST,3101,16,WEST ENGLEWOOD,RS-3,"(41.77638158, -87.66325757)"
20-18-401-001-0000,1925 W 59TH ST,0,15,WEST ENGLEWOOD,C1-1,"(41.78638811, -87.67271687)"
20-18-414-028-0000,6030 S MARSHFIELD AVE,0,15,WEST ENGLEWOOD,RS-3,"(41.78396551, -87.6658948)"
20-30-224-007-0000,1625 W 74TH ST,0,17,WEST ENGLEWOOD,M2-2,"(41.75923071, -87.66537987)"
20-18-419-031-0000,6120 S WOOD ST,0,15,WEST ENGLEWOOD,RS-3,"(41.78237432, -87.66949088)"
20-19-421-005-0000,1713 W 69TH ST,0,17,WEST ENGLEWOOD,RS-3,"(41.76825053, -87.66699339)"
20-20-110-044-0000,6452 S BISHOP ST,0,16,WEST ENGLEWOOD,RS-3,"(41.77614, -87.66083143)"
20-20-102-039-0000,6344 S BISHOP ST,0,16,WEST ENGLEWOOD,RS-3,"(41.77818576, -87.66088751)"
20-19-421-040-0000,6944 S PAULINA ST,0,17,WEST ENGLEWOOD,RS-3,"(41.76716318, -87.66666057)"
20-17-129-013-0000,5842 S THROOP ST,0,16,WEST ENGLEWOOD,M1-1,"(41.78752987, -87.65749997)"
20-18-226-034-0000,1844 W 59TH ST,0,15,WEST ENGLEWOOD,C2-1,"(41.78692856, -87.67083772)"
20-19-220-008-0000,6525 S WOOD ST,0,15,WEST ENGLEWOOD,RS-3,"(41.77502481, -87.6686326)"
20-19-211-036-0000,6434 S WOOD ST,0,15,WEST ENGLEWOOD,RS-3,"(41.77651423, -87.66936875)"
20-18-403-036-0000,5936 S WOOD ST,0,15,WEST ENGLEWOOD,RS-3,"(41.78557904, -87.66957497)"
20-17-120-036-0000,5728 S ADA ST,0,16,WEST ENGLEWOOD,RS-3,"(41.78959551, -87.65875453)"
20-19-412-044-0000,1734 W 69TH ST,0,17,WEST ENGLEWOOD,RS-3,"(41.76875953, -87.66840588)"
20-19-421-039-0000,6942 S PAULINA ST,0,17,WEST ENGLEWOOD,RS-3,"(41.76723176, -87.66666232)"
20-19-203-003-0000,1817 W 63RD ST,0,15,WEST ENGLEWOOD,RS-3,"(41.7790754, -87.6698392)"
20-19-204-005-0000,1745 W 63RD ST,0,15,WEST ENGLEWOOD,B1-1,"(41.77909461, -87.66853579)"
20-18-426-019-0000,6206 S HONORE ST,0,15,WEST ENGLEWOOD,RS-3,"(41.78095152, -87.67066504)"
20-20-303-023-0000,6747 S BISHOP ST,0,16,WEST ENGLEWOOD,RS-3,"(41.77084666, -87.65999338)"
20-20-111-026-0000,6406 S LOOMIS BLVD,0,16,WEST ENGLEWOOD,RT-4,"(41.77746621, -87.65965663)"
20-19-204-003-0000,1753 W 63RD ST,0,15,WEST ENGLEWOOD,B1-1,"(41.77909177, -87.66875574)"
20-17-310-002-0000,6003 S LAFLIN ST,0,16,WEST ENGLEWOOD,RS-3,"(41.78477259, -87.66157466)"
20-19-417-008-0000,6923 S WINCHESTER AVE,0,17,WEST ENGLEWOOD,RS-3,"(41.76771603, -87.67205032)"
20-19-421-010-0000,1701 W 69TH ST,0,17,WEST ENGLEWOOD,RS-3,"(41.76825566, -87.66652077)"
20-17-315-018-0000,6043 S ELIZABETH ST,0,16,WEST ENGLEWOOD,RS-3,"(41.7837544, -87.65547659)"
20-19-411-003-0000,6807 S HONORE ST,3108,17,WEST ENGLEWOOD,RS-3,"(41.7700248, -87.66968225)"
20-20-102-040-0000,6348 S BISHOP ST,0,16,WEST ENGLEWOOD,RS-3,"(41.77811716, -87.66088546)"
20-18-400-028-0000,5916 S WINCHESTER AVE,0,16,WEST ENGLEWOOD,RS-3,"(41.78607033, -87.67322449)"
20-17-327-035-0000,1454 W 63RD ST,0,16,WEST ENGLEWOOD,PD 911,"(41.77977128, -87.66145181)"
20-19-400-032-0000,6724 S WINCHESTER AVE,0,16,WEST ENGLEWOOD,RS-3,"(41.77129935, -87.67283933)"
20-17-122-003-0000,5709 S THROOP ST,0,16,WEST ENGLEWOOD,RS-3,"(41.79017179, -87.65685581)"
20-19-316-015-0000,2021 W 68TH ST,0,16,WEST ENGLEWOOD,RS-2,"(41.76998634, -87.67456463)"
20-19-202-019-0000,6339 S WOLCOTT AVE,0,15,WEST ENGLEWOOD,RS-3,"(41.77813129, -87.67112684)"
20-20-306-037-0000,6744 S ELIZABETH ST,0,17,WEST ENGLEWOOD,RS-3,"(41.77100868, -87.65583934)"
20-29-126-023-0000,1452 W 74TH ST,0,17,WEST ENGLEWOOD,RS-2,"(41.75960049, -87.66089058)"
20-19-221-013-0000,6539 S HERMITAGE AVE,0,15,WEST ENGLEWOOD,RS-3,"(41.7746287, -87.66741493)"
20-17-331-028-0000,6236 S ELIZABETH ST,0,16,WEST ENGLEWOOD,RS-3,"(41.78030008, -87.65615186)"
20-17-329-018-0000,6202 S ADA ST,2913,16,WEST ENGLEWOOD,RT-4,"(41.78109921, -87.65858441)"
20-17-329-034-0000,1348 W 63RD ST,0,16,WEST ENGLEWOOD,PD 911,"(41.77979696, -87.65906679)"
20-29-130-003-0000,7449 S ASHLAND AVE,0,17,WEST ENGLEWOOD,M2-2,"(41.75812096, -87.6627499)"
20-20-323-025-0000,6930 S RACINE AVE,0,6,WEST ENGLEWOOD,B1-1,"(41.76773756, -87.65453961)"
20-19-204-012-0000,6331 S WOOD ST,0,15,WEST ENGLEWOOD,RS-3,"(41.77848546, -87.66873084)"
20-19-419-001-0000,1825 W 69TH ST,0,17,WEST ENGLEWOOD,RS-3,"(41.7682203, -87.66981862)"
20-17-424-034-0000,1150 W 63RD ST,0,16,ENGLEWOOD,C1-2,"(41.77972325, -87.65410811)"
20-17-116-010-0000,5733 S ASHLAND AVE,0,16,WEST ENGLEWOOD,PD 1142,"(41.78944935, -87.66407934)"
20-18-222-026-0000,5708 S MARSHFIELD AVE,0,16,WEST ENGLEWOOD,RS-3,"(41.79004191, -87.66604946)"
20-19-416-005-0000,6921 S DAMEN AVE,0,17,WEST ENGLEWOOD,RS-3,"(41.76780603, -87.6732634)"
20-19-408-041-0000,1936 W 69TH ST,0,17,WEST ENGLEWOOD,RS-3,"(41.7687136, -87.67268377)"
20-20-400-019-0000,6745 S RACINE AVE,3000,16,ENGLEWOOD,RS-3,"(41.77102572, -87.65393207)"
20-17-109-015-0000,5639 S JUSTINE ST,0,16,WEST ENGLEWOOD,RS-3,"(41.79107947, -87.66293478)"
20-19-422-012-0000,6921 S PAULINA ST,0,17,WEST ENGLEWOOD,RS-3,"(41.76784979, -87.66597962)"
20-19-206-013-0000,6325 S PAULINA ST,0,15,WEST ENGLEWOOD,RS-3,"(41.7786539, -87.66632541)"
20-17-324-007-0000,6153 S ELIZABETH ST,0,16,WEST ENGLEWOOD,RS-3,"(41.78159509, -87.65567067)"
20-20-308-016-0000,6802 S JUSTINE ST,0,16,WEST ENGLEWOOD,RS-3,"(41.77017695, -87.66309498)"
20-29-121-016-0000,1470 W 73RD PL,3625,17,WEST ENGLEWOOD,RS-2,"(41.76065469, -87.66160061)"
20-29-114-048-0000,7200 S RACINE AVE,0,6,WEST ENGLEWOOD,B1-1,"(41.76310383, -87.65441839)"
20-18-409-027-0000,6004 S WOLCOTT AVE,0,15,WEST ENGLEWOOD,RS-3,"(41.7845748, -87.67197315)"
20-17-313-010-0000,6057 S ADA ST,0,16,WEST ENGLEWOOD,RS-3,"(41.78339419, -87.65789547)"
20-20-110-027-0000,6410 S BISHOP ST,0,16,WEST ENGLEWOOD,RS-3,"(41.77730604, -87.66086273)"
20-20-105-001-0000,1323 W 63RD ST,0,16,WEST ENGLEWOOD,C1-2,"(41.77930054, -87.65797882)"
20-19-226-031-0000,6640 S HONORE ST,0,15,WEST ENGLEWOOD,RS-3,"(41.77272564, -87.67046496)"
20-17-321-022-0000,6137 S ADA ST,4405,16,WEST ENGLEWOOD,RT-4,"(41.78206845, -87.65793881)"
20-17-320-015-0000,6125 S LOOMIS BLVD,0,16,WEST ENGLEWOOD,RS-3,"(41.78241268, -87.65910269)"
20-17-130-021-0000,5839 S THROOP ST,0,16,WEST ENGLEWOOD,M1-1,"(41.78750479, -87.65677067)"
20-20-322-027-0000,6922 S ELIZABETH ST,0,6,WEST ENGLEWOOD,RS-3,"(41.76800465, -87.65575781)"
20-18-430-017-0000,6212 S MARSHFIELD AVE,0,15,WEST ENGLEWOOD,RS-3,"(41.7807893, -87.66581439)"
20-20-305-030-0000,6726 S THROOP ST,0,17,WEST ENGLEWOOD,RS-3,"(41.77148866, -87.65706696)"
20-20-101-031-0000,6324 S LAFLIN ST,0,16,WEST ENGLEWOOD,RS-3,"(41.77871733, -87.66211448)"
20-18-413-040-0000,1716 W 61ST ST,0,15,WEST ENGLEWOOD,RS-3,"(41.78333344, -87.66748733)"
20-20-302-015-0000,6725 S LAFLIN ST,0,16,WEST ENGLEWOOD,RS-3,"(41.77137838, -87.66122325)"
20-19-336-041-0000,2012 W 70TH PL,0,17,WEST ENGLEWOOD,RS-2,"(41.76597133, -87.67418819)"
20-20-107-002-0000,1223 W 63RD ST,0,16,WEST ENGLEWOOD,C1-2,"(41.7793364, -87.65545332)"
20-17-116-026-0000,5716 S JUSTINE ST,0,16,WEST ENGLEWOOD,RS-3,"(41.78986763, -87.66359906)"
20-19-112-027-0000,6410 S HOYNE AVE,0,16,WEST ENGLEWOOD,RS-3,"(41.77708704, -87.67663938)"
20-19-202-004-0000,1849 W 63RD ST,0,15,WEST ENGLEWOOD,RS-3,"(41.77905828, -87.67104215)"
20-18-215-033-0000,5630 S ASHLAND AVE,0,16,WEST ENGLEWOOD,B3-2,"(41.79126073, -87.66491172)"
20-19-410-042-0000,1842 W 69TH ST,0,17,WEST ENGLEWOOD,RS-3,"(41.76873679, -87.67053096)"
20-18-204-025-0000,5530 S HERMITAGE AVE,3127,15,WEST ENGLEWOOD,RS-3,"(41.79269966, -87.66855723)"
20-18-112-021-0000,5610 S DAMEN AVE,0,15,WEST ENGLEWOOD,RS-3,"(41.79170145, -87.67459283)"
20-18-419-004-0000,6109 S HONORE ST,3100,15,WEST ENGLEWOOD,RS-3,"(41.78271039, -87.67001396)"
20-17-112-030-0000,5614 S ADA ST,0,16,WEST ENGLEWOOD,RS-3,"(41.79175845, -87.65881106)"
20-17-105-024-0000,5524 S THROOP ST,0,16,WEST ENGLEWOOD,RS-3,"(41.79297545, -87.65762899)"
20-17-329-037-0000,1324 W 63RD ST,0,16,WEST ENGLEWOOD,C1-2,"(41.77983625, -87.6573884)"
20-18-416-026-0000,6108 S WINCHESTER AVE,0,16,WEST ENGLEWOOD,RS-3,"(41.78266854, -87.67313457)"
20-18-420-043-0000,6148 S HERMITAGE AVE,0,15,WEST ENGLEWOOD,RS-3,"(41.78170016, -87.66826251)"
20-18-408-047-0000,6058 S WINCHESTER AVE,0,16,WEST ENGLEWOOD,RS-3,"(41.78311952, -87.67314576)"
20-20-306-002-0000,1253 W MARQUETTE RD,0,17,WEST ENGLEWOOD,RS-3,"(41.77204727, -87.6563509)"
20-17-102-034-0000,5544 S BISHOP ST,0,16,WEST ENGLEWOOD,RS-3,"(41.79237919, -87.66125686)"
20-18-411-010-0000,6025 S HONORE ST,0,15,WEST ENGLEWOOD,RS-3,"(41.78405113, -87.67004924)"
20-29-132-054-0000,7404 S RACINE AVE,3123,17,WEST ENGLEWOOD,B1-1,"(41.75930884, -87.65431992)"
20-19-412-019-0000,6800 S HERMITAGE AVE,0,17,WEST ENGLEWOOD,RS-3,"(41.77019942, -87.66795723)"
20-17-101-014-0000,5531 S JUSTINE ST,0,16,WEST ENGLEWOOD,RS-3,"(41.79271428, -87.66317191)"
20-17-126-022-0000,5840 S BISHOP ST,0,16,WEST ENGLEWOOD,M1-1,"(41.78740973, -87.66114039)"
20-18-206-019-0000,5520 S MARSHFIELD AVE,3125,16,WEST ENGLEWOOD,RS-3,"(41.79293627, -87.66612353)"
20-18-427-038-0000,1818 W 63RD ST,0,15,WEST ENGLEWOOD,RS-3,"(41.77965297, -87.66993181)"
20-19-410-041-0000,1846 W 69TH ST,0,17,WEST ENGLEWOOD,RS-3,"(41.76873581, -87.67062257)"
20-18-427-043-0000,1808 W 63RD ST,0,15,WEST ENGLEWOOD,RS-3,"(41.77965962, -87.66947345)"
20-17-304-003-0000,1351 W 59TH ST,3125,16,WEST ENGLEWOOD,C1-1,"(41.78656462, -87.65906962)"
20-18-214-001-0000,5601 S PAULINA ST,0,16,WEST ENGLEWOOD,RS-3,"(41.7920626, -87.66661735)"
20-17-329-001-0000,6201 S LOOMIS BLVD,0,16,WEST ENGLEWOOD,RS-3,"(41.78116169, -87.65907075)"
20-17-330-021-0000,1314 W 63RD ST,0,16,WEST ENGLEWOOD,RS-3,"(41.77981692, -87.65769375)"
20-17-325-032-0000,6240 S JUSTINE ST,0,16,WEST ENGLEWOOD,RS-3,"(41.78008376, -87.66335757)"
20-19-422-029-0000,6918 S MARSHFIELD AVE,0,17,WEST ENGLEWOOD,RS-3,"(41.76785526, -87.66546449)"
20-19-208-048-0000,1949 W 64TH ST,0,15,WEST ENGLEWOOD,RS-3,"(41.77741958, -87.67337814)"
20-19-420-005-0000,1745 W 69TH ST,0,17,WEST ENGLEWOOD,RS-3,"(41.76823803, -87.66816277)"
20-19-406-027-0000,6710 S MARSHFIELD AVE,0,16,WEST ENGLEWOOD,RS-3,"(41.77164668, -87.66557141)"
20-19-113-006-0000,6417 S HOYNE AVE,0,16,WEST ENGLEWOOD,RS-3,"(41.77695933, -87.67593394)"
20-20-113-017-0000,6543 S JUSTINE ST,0,16,WEST ENGLEWOOD,RS-3,"(41.77456998, -87.66251056)"
20-18-200-015-0000,5539 S DAMEN AVE,0,15,WEST ENGLEWOOD,B1-1,"(41.79238717, -87.67391365)"
20-19-229-032-0000,6634 S PAULINA ST,3690,15,WEST ENGLEWOOD,RS-3,"(41.77293763, -87.66686045)"
20-29-108-011-0000,1307 W 71ST PL,0,6,WEST ENGLEWOOD,RS-2,"(41.76383148, -87.65767209)"
20-18-430-007-0000,6231 S PAULINA ST,0,15,WEST ENGLEWOOD,RS-3,"(41.78030225, -87.66631754)"
20-18-427-039-0000,1816 W 63RD ST,0,15,WEST ENGLEWOOD,RS-3,"(41.77965429, -87.66984014)"
20-20-111-009-0000,6421 S BISHOP ST,0,16,WEST ENGLEWOOD,RS-3,"(41.77704177, -87.66015813)"
20-19-205-006-0000,1707 W 63RD ST,0,15,WEST ENGLEWOOD,B1-1,"(41.77910756, -87.66755022)"
20-17-110-017-0000,5641 S LAFLIN ST,0,16,WEST ENGLEWOOD,RS-3,"(41.79102528, -87.66173198)"
20-19-203-031-0000,6334 S WOOD ST,0,15,WEST ENGLEWOOD,RS-3,"(41.77827061, -87.66941863)"
20-20-115-003-0000,1415 W 65TH ST,1666,16,WEST ENGLEWOOD,RS-3,"(41.77573395, -87.6599584)"
20-18-214-040-0000,5642 S MARSHFIELD AVE,0,16,WEST ENGLEWOOD,RS-3,"(41.790903, -87.66607155)"
20-19-424-036-0000,7026 S WINCHESTER AVE,0,17,WEST ENGLEWOOD,RS-3,"(41.76581132, -87.67249223)"
20-30-207-008-0000,7123 S MARSHFIELD AVE,0,17,WEST ENGLEWOOD,RS-2,"(41.76424812, -87.66466851)"
20-17-408-040-0000,1152 W 61ST ST,0,16,ENGLEWOOD,RS-3,"(41.78351324, -87.6542608)"
20-17-122-004-0000,5711 S THROOP ST,0,16,WEST ENGLEWOOD,RS-3,"(41.79010317, -87.65685401)"
20-20-303-003-0000,1419 W MARQUETTE RD,0,16,WEST ENGLEWOOD,RS-3,"(41.77214102, -87.65997795)"
20-20-330-035-0000,7030 S ELIZABETH ST,0,6,WEST ENGLEWOOD,RS-3,"(41.76590328, -87.655702)"
20-20-116-002-0000,6609 S ASHLAND AVE,0,16,WEST ENGLEWOOD,B3-2,"(41.773674, -87.66367534)"
20-18-420-004-0000,6109 S WOOD ST,0,15,WEST ENGLEWOOD,RS-3,"(41.78272235, -87.66880266)"
20-18-427-025-0000,6216 S WOOD ST,0,15,WEST ENGLEWOOD,RS-3,"(41.78063989, -87.66944538)"
20-19-218-039-0000,6556 S HONORE ST,5249,15,WEST ENGLEWOOD,RS-3,"(41.77408052, -87.67050273)"
20-20-113-016-0000,6539 S JUSTINE ST,0,16,WEST ENGLEWOOD,RS-3,"(41.77463832, -87.66251249)"
20-19-425-013-0000,7031 S WINCHESTER AVE,0,17,WEST ENGLEWOOD,RS-3,"(41.76567891, -87.6719975)"
20-20-305-022-0000,6745 S ADA ST,3136,17,WEST ENGLEWOOD,RS-3,"(41.7709324, -87.65756852)"
20-18-230-002-0000,5803 S PAULINA ST,0,16,WEST ENGLEWOOD,RS-3,"(41.7883553, -87.66652269)"
20-19-225-010-0000,6625 S WINCHESTER AVE,0,15,WEST ENGLEWOOD,RS-3,"(41.77310548, -87.67219163)"
20-18-425-014-0000,6237 S WINCHESTER AVE,0,15,WEST ENGLEWOOD,RS-3,"(41.78006628, -87.6723683)"
20-19-406-014-0000,6727 S PAULINA ST,0,16,WEST ENGLEWOOD,RS-3,"(41.77135603, -87.66607396)"
20-17-100-004-0000,5517 S ASHLAND AVE,0,16,WEST ENGLEWOOD,B3-2,"(41.79310145, -87.66417249)"
20-19-430-032-0000,7028 S MARSHFIELD AVE,0,17,WEST ENGLEWOOD,RS-3,"(41.7657662, -87.66540795)"
20-29-109-034-0000,1264 W 72ND ST,0,6,WEST ENGLEWOOD,RS-2,"(41.76345925, -87.65659817)"
20-19-422-011-0000,6911 S PAULINA ST,0,17,WEST ENGLEWOOD,RS-3,"(41.76791837, -87.66598141)"
20-17-130-019-0000,5835 S THROOP ST,0,16,WEST ENGLEWOOD,M1-1,"(41.78767634, -87.6567752)"
20-29-119-052-0000,7236 S RACINE AVE,0,6,WEST ENGLEWOOD,B1-1,"(41.76212762, -87.65439268)"
20-19-420-008-0000,1739 W 69TH ST,0,17,WEST ENGLEWOOD,RS-3,"(41.76824149, -87.66784206)"
20-18-423-008-0000,6121 S MARSHFIELD AVE,3021,15,WEST ENGLEWOOD,RS-3,"(41.78242932, -87.66516383)"
20-20-307-006-0000,6741 S ELIZABETH ST,0,17,WEST ENGLEWOOD,RS-3,"(41.77110425, -87.65514491)"
20-18-422-020-0000,6151 S PAULINA ST,0,15,WEST ENGLEWOOD,RS-3,"(41.78158929, -87.66635027)"
20-17-107-016-0000,5535 S ELIZABETH ST,0,16,WEST ENGLEWOOD,RS-3,"(41.79272865, -87.65570816)"
20-17-303-026-0000,5938 S LOOMIS BLVD,0,16,WEST ENGLEWOOD,RS-3,"(41.78565425, -87.65986897)"
20-30-205-037-0000,7132 S PAULINA ST,0,17,WEST ENGLEWOOD,RS-2,"(41.76388584, -87.66657284)"
20-20-104-001-0000,1357 W 63RD ST,0,16,WEST ENGLEWOOD,PD 911,"(41.77928415, -87.65911748)"
20-18-413-014-0000,6035 S HERMITAGE AVE,0,15,WEST ENGLEWOOD,RS-3,"(41.78383412, -87.667816)"
20-17-310-013-0000,6035 S LAFLIN ST,0,16,WEST ENGLEWOOD,RS-3,"(41.78391899, -87.66155335)"
20-18-404-038-0000,5938 S HERMITAGE AVE,0,15,WEST ENGLEWOOD,RS-3,"(41.78555595, -87.66836196)"
20-20-108-034-0000,6428 S JUSTINE ST,0,16,WEST ENGLEWOOD,RS-3,"(41.77679311, -87.66326915)"
20-17-109-028-0000,5612 S LAFLIN ST,0,16,WEST ENGLEWOOD,RS-3,"(41.791703, -87.66244588)"
20-17-110-018-0000,5643 S LAFLIN ST,0,16,WEST ENGLEWOOD,RS-3,"(41.79095666, -87.66172999)"
20-20-310-030-0000,6830 S BISHOP ST,0,17,WEST ENGLEWOOD,RS-3,"(41.76951702, -87.6606556)"
20-17-321-015-0000,6123 S ADA ST,2931,16,WEST ENGLEWOOD,RT-4,"(41.78249731, -87.65795011)"
20-20-111-046-0000,6456 S LOOMIS BLVD,0,16,WEST ENGLEWOOD,RT-4,"(41.77608834, -87.65961866)"
20-17-314-011-0000,6027 S THROOP ST,0,16,WEST ENGLEWOOD,RS-3,"(41.78422538, -87.6567024)"
20-20-315-029-0000,6822 S RACINE AVE,0,17,WEST ENGLEWOOD,B1-1,"(41.76979927, -87.65438835)"
20-18-411-014-0000,6035 S HONORE ST,0,15,WEST ENGLEWOOD,RS-3,"(41.78377677, -87.670042)"
20-17-315-041-0000,6052 S RACINE AVE,0,16,WEST ENGLEWOOD,B3-1,"(41.78351092, -87.6549558)"
20-18-420-047-0000,6156 S HERMITAGE AVE,0,15,WEST ENGLEWOOD,RS-3,"(41.78142569, -87.66825542)"
20-19-417-007-0000,6921 S WINCHESTER AVE,0,17,WEST ENGLEWOOD,RS-3,"(41.7677846, -87.67205199)"
20-17-315-042-0000,6054 S RACINE AVE,0,16,WEST ENGLEWOOD,B1-1,"(41.78343698, -87.65495396)"
20-20-113-035-0000,6532 S LAFLIN ST,4650,16,WEST ENGLEWOOD,RS-3,"(41.77486787, -87.66200615)"
20-18-427-011-0000,6229 S HONORE ST,0,15,WEST ENGLEWOOD,RS-3,"(41.78036902, -87.66995226)"
20-20-110-024-0000,6402 S BISHOP ST,0,16,WEST ENGLEWOOD,RS-3,"(41.77751181, -87.66086825)"
20-18-426-011-0000,6229 S WOLCOTT AVE,0,15,WEST ENGLEWOOD,RS-3,"(41.78028557, -87.67116131)"
20-20-113-045-0000,6555 S JUSTINE ST,0,16,WEST ENGLEWOOD,RS-3,"(41.77477645, -87.66252225)"
20-17-128-012-0000,1350 W 59TH ST,0,16,WEST ENGLEWOOD,M1-1,"(41.78709862, -87.65916071)"
20-19-203-007-0000,1805 W 63RD ST,0,15,WEST ENGLEWOOD,RS-3,"(41.77908082, -87.66945639)"
20-19-212-011-0000,6431 S WOOD ST,0,15,WEST ENGLEWOOD,RS-3,"(41.77659749, -87.66867694)"
20-18-112-019-0000,5604 S DAMEN AVE,0,15,WEST ENGLEWOOD,RS-3,"(41.7918332, -87.6745967)"
